source,product_id,title,url,price_azn,old_price_azn,discount_azn,discount_percent,brand,specs,availability,label,monthly_payment_azn,rating,review_count
soliton.az,20241125035316781,HP 250 G10 - i5/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125035316781-hp-250-g10-i5-8-512.html,1199.0,,240.0,17%,8,,,,106.92,,
soliton.az,20241125024200581,ACER Aspire 3 A315-59-30Z5,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125024200581-acer-aspire-3-a315-59-30z5.html,949.0,,100.0,10%,9,,,,84.58,,
soliton.az,20241125023713965,ASUS Vivobook X1502ZA-EJ1429,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125023713965-asus-vivobook-x1502za-ej1429.html,1399.0,,180.0,11%,36,,,,124.75,,
soliton.az,20241125022429424,ASUS Vivobook X1504VA-NJ739,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125022429424-asus-vivobook-x1504va-nj739.html,1099.0,,130.0,11%,36,,,,98.0,,
soliton.az,20241125015318627,HP 250 G10 - i3/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125015318627-hp-250-g10-i3-8-512.html,1099.0,,160.0,13%,8,,,,98.0,,
soliton.az,20241122033053632,ASUS Vivobook X1502ZA-EJ2233,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122033053632-asus-vivobook-x1502za-ej2233.html,999.0,,120.0,11%,36,,,,89.08,,
soliton.az,20241122030804980,HP PROBOOK 450 G10 - i7/16/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122030804980-hp-probook-450-g10-i7-16-512.html,2439.0,,370.0,13%,8,,,,217.5,,
soliton.az,20241122024431042,HP PROBOOK 450 G10 - i5/16/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122024431042-hp-probook-450-g10-i5-16-512.html,1999.0,,300.0,13%,8,,,,178.25,,
soliton.az,20241122122518079,ACER Aspire 5 A515-58GM-5253,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122122518079-acer-aspire-5-a515-58gm-5253.html,2049.0,,310.0,13%,9,,,,182.67,,
soliton.az,20241122115006891,ACER Aspire 5 A515-57-77EA,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122115006891-acer-aspire-5-a515-57-77ea.html,1549.0,,240.0,13%,9,,,,138.08,,
soliton.az,20241122113854921,ACER Aspire 3 A315-59-58SS,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122113854921-acer-aspire-3-a315-59-58ss.html,1289.0,,200.0,13%,9,,,,114.92,,
kontakt.az,1699,Notbuk Apple MacBook Air 13 M1 Space Gray MGN63RU/A,https://kontakt.az/notbuk-apple-macbook-air-13-mgn63ru-a-space-gray,1499.99,1799.99,300.0,,Apple,"Prosessor: Apple M1, 3.23 GHz",,,,,
kontakt.az,111888,Notbuk Asus VivoBook 15 X1504VA-BQ591 (90NB13Y2-M00X80),https://kontakt.az/notbuk-asus-vivobook-15-x1504va-bq591-90nb13y2-m00x80,1149.99,1699.99,550.0,,Asus,"Prosessor: Intel Core i5 120U, 1.4 - 5 GHz",,,,,
kontakt.az,106886,Notbuk Acer Nitro 5 ANV15-51 (NH.QNDER.001),https://kontakt.az/notbuk-acer-nitro-5-anv15-51-nh-qnder-001,1499.99,2399.99,900.0,,Acer,"Prosessor: Intel Core i5 13620H, 1.8 - 4.9 GHz",,,,,
