product_id,title,url,price_azn,specs
42748,HP 250 G8 (32M39EA),https://qiymeti.net/notebook/hp-250-g8-32m39ea/,1749.99,"15.6 inç ekran ölçüsü, Intel Core i7 prosessor seriyası, 4 prosessorların sayı, 2.8 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
65414,Acer Aspire 3 A315-24P-R3UN (NX.KDEER.005),https://qiymeti.net/notebook/acer-aspire-3-a315-24p-r3un-nx-kdeer-005/,979.0,"15.6 inç ekran ölçüsü, AMD Ryzen 5 prosessor seriyası, 4 prosessorların sayı, 2.8 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
62902,Huawei MateBook D 14 MDF-X 53013XFA,https://qiymeti.net/notebook/huawei-matebook-d-14-mdf-x-53013xfa/,1499.99,"14.0 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 8 prosessorların sayı, 2.0 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
40595,HP 250 G8 (27K14EA),https://qiymeti.net/notebook/hp-250-g8-27k14ea/,999.99,"15.6 inç ekran ölçüsü, Intel Core i3 prosessor seriyası, 2 prosessorların sayı, 1.2 GHz prosessor sürəti, 4 GB RAM, 256 GB SSD həcmi"
66718,Acer Predator Helios Neo 16 PHN16-72 (NH.QRFER.002),https://qiymeti.net/notebook/acer-predator-helios-neo-16-phn16-72-nh-qrfer-002/,3099.99,"16.0 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 1.8 GHz prosessor sürəti, 16 GB RAM, 1 TB SSD həcmi"
51790,HP 250 G10 (725H0EA),https://qiymeti.net/notebook/hp-250-g10-725h0ea/,1619.0,"15.6 inç ekran ölçüsü, Intel Core i7 prosessor seriyası, 10 prosessorların sayı, 1.7 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
50333,Asus Vivobook 15X X1503ZA-L1303 (90NB0WY1-M00NX0),https://qiymeti.net/notebook/asus-vivobook-15x-x1503za-l1303-90nb0wy1-m00nx0/,1599.99,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 12 prosessorların sayı, 2.5 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
41147,Lenovo ThinkBook 15-ITL (20VE0051RU),https://qiymeti.net/notebook/lenovo-thinkbook-15-itl-20ve0051ru/,1839.0,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 4 prosessorların sayı, 2.4 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
43494,Lenovo ThinkBook 14-ITL (20VD0096RU),https://qiymeti.net/notebook/lenovo-thinkbook-14-itl-20vd0096ru/,1579.0,"14 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 4 prosessorların sayı, 2.4 GHz prosessor sürəti, 8 GB RAM, 256 GB SSD həcmi"
49203,Lenovo IdeaPad 3 15IAU7 (82RK00MFRK),https://qiymeti.net/notebook/lenovo-ideapad-3-15iau7-82rk00mfrk/,1369.0,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 10 prosessorların sayı, 8 GB RAM, 512 GB SSD həcmi"
