product_id,title,url,price_azn,monthly_payment_azn,specs
9801,HP OmniBook 5 Flip 14-fp0023dx (B86Q7UA) Laptop,https://compstore.az/hp-omnibook-5-flip-14-fp0023dx-b86q7ua-laptop.html,1598.0,102.0,Intel® Core™ 7-150U | DDR5 16 GB 5200 MHz | İntel İris | SSD 512 GB NVMe | 2K IPS 14-inch TouchScreen | Windows 11
9800,HP OmniBook 5 Flip 14-fp0013dx (B5UJ3UA) Laptop,https://compstore.az/hp-omnibook-5-flip-14-fp0013dx-b5uj3ua-laptop.html,1299.0,83.0,Intel® Core™ 5-120U | DDR5 8 GB 5200 MHz | İntel İris | SSD 512 GB NVMe | 2K IPS 14-inch TouchScreen | Windows 11
9793,ASUS ROG Zephyrus G16 GU603VI-G16.I74070 (90NR0G35-M00680) Gaming Laptop,https://compstore.az/asus-rog-zephyrus-g16-gu603vi-g16-i74070-90nr0g35-m00680.html,2713.0,173.0,Intel® Core™ i7-13620H | DDR4 16 GB 3200 MHz | NVIDIA GeForce® RTX4070 8 GB | SSD 1 TB NVMe | WUXGA IPS 16-inch 165 Hz | Windows 11
9798,Asus Vivobook F1504ZA-WH52 (90NB1021-M02810),https://compstore.az/asus-vivobook-f1504za-wh52-90nb1021-m02810.html,893.0,57.0,İntel Core™ i5-1235U | DDR4 8 GB 3200 MHz | İntel İris Xe | SSD 256 GB NVMe | FHD 15.6-inch | Windows 11
9797,ASUS V16 FX3607VU-RP211WS (90NB15Q1-M00E70) Laptop,https://compstore.az/asus-v16-fx3607vu-rp211ws-90nb15q1-m00e70.html,1812.0,116.0,Intel® Core™ i5-210H | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512 GB NVMe | WUXGA IPS 16-inch 144 Hz | Windows 11
9796,ASUS V16 V3607VU-BS74-CB (90NB15Q1-M00KT0) Laptop,https://compstore.az/asus-v16-v3607vu-bs74-cb-90nb15q1-m00kt0.html,2298.0,146.0,Intel® Core™ i7-240H | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 1 TB NVMe | WUXGA IPS 16-inch 144 Hz | Windows 11
9794,ASUS TUF Gaming F16 FX607VU-RL078 (90NR0N06-M004M0) Gaming Laptop,https://compstore.az/asus-tuf-gaming-f16-fx607vu-rl078-90nr0n06-m004m0.html,1750.0,112.0,Intel® Core™ i5-210H | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512 GB NVMe | WUXGA IPS 16-inch 144 Hz | Windows 11
9792,ASUS ROG Strix G16 G614JVR-ES94 (90NR0II5-M00080) Gaming Laptop,https://compstore.az/asus-rog-strix-g16-g614jvr-es94-90nr0ii5-m00080.html,3399.0,216.0,Intel® Core™ i9-14900HX | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4060 8 GB | SSD 1 TB NVMe | WUXGA IPS 16.1-inch 240 Hz | Windows 11
9791,ASUS ROG Strix G16 G614JU-NS73 (90NR0CC1-M000R0) Gaming Laptop,https://compstore.az/asus-rog-strix-g16-g614ju-ns73-90nr0cc1-m000r0.html,2429.0,155.0,Intel® Core™ i7-13650HX | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512 GB NVMe | WUXGA IPS 16.1-inch 165 Hz | Windows 11
9790,ASUS ROG Strix G16 G614JI-N3529 (90NR0D41-M00Y50) Gaming Laptop,https://compstore.az/asus-rog-strix-g16-g614ji-n3529-90nr0d41-m00y50-gaming-laptop.html,2949.0,188.0,Intel® Core™ i7-13650HX | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4070 8 GB | SSD 1 TB NVMe | WUXGA IPS 16.1-inch 165 Hz | Windows 11
9693,ASUS TUF A15 FA507NVR-LP040 (90NR0JK5-M00230) Gaming Laptop,https://compstore.az/asus-tuf-a15-fa507nvr-lp040-90nr0jk5-m00230-gaming-laptop.html,1999.0,127.0,AMD® Ryzen™ 7 7435HS | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4060 8 GB | SSD 512 GB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9687,Lenovo LOQ 5AHP10 Gaming Laptop (83JG000XRK),https://compstore.az/lenovo-loq-5ahp10-gaming-laptop-83jg000xrk.html,2398.0,153.0,AMD Ryzen™ 7 250H | DDR5 16 GB 5600 MHz | NVIDIA GeForce® RTX5050 8 GB | SSD 512 GB NVMe | FHD 15.6-inch 144Hz | Windows 11
