product_id,title,url,description,price_azn,old_price_azn,discount_azn,availability
1332,LENOVO ThinkPad E16 Gen 3 21TF004PFW,https://aztechshop.az/noutbuklar/lenovo-thinkpad-e16-gen-3-21tf004pfw.html,"16"" WUXGA IPS/Intel 7 240H/RAM 32GB DDR5/SSD 1TB G4/Intel Graphics..",2299.0,,,Əldədir
1174,LENOVO ThinkPad T14 Gen 6 21QC006CFW,https://aztechshop.az/noutbuklar/lenovo-thinkpad-t14-gen-6-21qc006cfw-2025.html,"14"" WUXGA IPS/Intel Ultra 5 225U/RAM 16GB DDR5/SSD 512GB G4/Intel Graphics..",2299.0,,,Əldədir
1204,ASUS TUF Gaming A18 FA808UH-S8052 90NR0NM1-M002K0,https://aztechshop.az/noutbuklar/asus-tuf-gaming-a18-fa808uh-s8052-90nr0nm1-m002k0-2025.html,"18"" FHD+ IPS, 144Hz/Ryzen 7 260/RAM 16GB DDR5/SSD 512GB G4/RTX 5050 8GB..",2399.0,2799.0,400.0,Əldədir
1336,ASUS TUF Gaming F16 FX608JHR-RV088 90NR0NA1-M004U0,https://aztechshop.az/noutbuklar/asus-tuf-gaming-f16-fx608jhr-rv088-90nr0na1-m004u0.html,"16"" FHD+ IPS, 165Hz/i5-14450HX/RAM 16GB DDR5/SSD 512GB G4/RTX 5050 8GB..",2399.0,2599.0,200.0,Əldədir
1035,ASUS ExpertBook P5 P5405CSA-NZ0209 90NX0861-M008B0,https://aztechshop.az/noutbuklar/asus-expertbook-p5-p5405csa-nz0209-90nx0861-m008b0.html,"14"" QHD+ IPS, 144Hz/Intel Ultra 7 258V/RAM 32GB DDR5X/SSD 1TB G4/Intel Arc 140V..",2499.0,,,Əldədir
1201,ASUS TUF Gaming A14 FA401UH-RG017 90NR0KQ1-M000X0,https://aztechshop.az/noutbuklar/asus-tuf-gaming-a14-fa401uh-rg017-90nr0kq1-m000x0-2025.html,"14"" 2.5K IPS, 165Hz/Ryzen 7 260/RAM 16GB DDR5X/SSD 1TB G4/RTX 5050 8GB..",2499.0,2799.0,300.0,Əldədir
1142,ASUS TUF Gaming F16 FX608JM-RV002 90NR0MI1-M002V0,https://aztechshop.az/noutbuklar/asus-tuf-gaming-f16-fx608jm-rv002-90nr0mi1-m002v0-2025.html,"16"" FHD+ IPS, 165Hz/i5-13450HX/RAM 16GB DDR5/SSD 512GB G4/RTX 5060 8GB..",2499.0,2699.0,200.0,Əldədir
1011,ASUS ZenBook S 14 OLED UX5406SA-PV037W 90NB14F2-M007Z0,https://aztechshop.az/noutbuklar/asus-zenbook-s-14-oled-ux5406sa-pv037w-90nb14f2-m007z0.html,"14"" 3K OLED, 120Hz/Intel Ultra 5 226V/RAM 16GB DDR5X/SSD 512GB G4/Intel Arc Graphics/Win 11 Home..",2499.0,2699.0,200.0,Əldədir
1222,LENOVO LOQ 15AHP10 83JG007LRK,https://aztechshop.az/noutbuklar/lenovo-loq-15ahp10-83jg007lrk-2025.html,"15.6"" FHD IPS, 144Hz/Ryzen 7 250/RAM 16GB DDR5/SSD 512GB G4/RTX 5060 8GB..",2499.0,,,Əldədir
1072,LENOVO YOGA 7 2-in-1 14ILL10 83JQ005CRK,https://aztechshop.az/noutbuklar/lenovo-yoga-7-2-in-1-14ill10-83jq005crk-2025.html,"14"" Touch 2.8K OLED, 120Hz/Intel Ultra 7 256V/RAM 16GB DDR5X/SSD 1TB G4/Intel Arc 140V..",2499.0,,,Əldədir
1252,MSI Cyborg 15 B2RWFKG-408XAZ 9S7-15Q342-408,https://aztechshop.az/noutbuklar/msi-cyborg-15-b2rwfkg-408xaz-9s7-15q342-408.html,"15.6"" FHD IPS, 144Hz/Intel 7 240H/RAM 16GB DDR5/SSD 512GB G4/RTX 5060 8GB..",2499.0,2599.0,100.0,Əldədir
