product_id,product_code,title,url,price_azn,discounted_price_azn,discount_azn,monthly_payment_azn,installment_months,rating,review_count,quantity,is_online
73479,211494,Notbuk Acer Nitro CORE I5-13420H 16 GB DDR5MMRY 512GB PCIE NVME SSD NVD GFRC RTX (NH.QNDER.002),https://www.bakuelectronics.az/mehsul/notebook-acer-intl-core-i5-13420h-16-gb-ddr5mmry-512gb-pcie-nvme-ssd-nvd-gfrc-rtx-2050-156ips-144hz-211494,1999.99,1699.99,300.0,283.33,6,0,0,5,False
73018,210750,"Apple MacBook Air 15"" M3 (8C CPU/10C GPU), 16GB, 512GB SSD - Midnight (MXD43RU/A)",https://www.bakuelectronics.az/mehsul/15-inch-macbook-air-apple-m3-chip-with-8-core-cpu-and-10-core-gpu-16gb-512gb-ssd-midnight-210750,2899.99,2599.99,300.0,433.33,6,0,0,1,False
73014,210746,"Apple MacBook Air 13"" M3 (8C CPU/10C GPU), 16GB, 512GB SSD - Midnight (MXCV3RU/A)",https://www.bakuelectronics.az/mehsul/13-inch-macbook-air-apple-m3-chip-with-8-core-cpu-and-10-core-gpu-16gb-512gb-ssd-midnight-210746,2699.99,2399.99,300.0,400,6,0,0,2,False
78156,207779,Notbuk Acer Predator Triton Neo 16 51 16 WQXGA 3.2K IPS 165HZ DDS INTEL CORE ULTRA 7 PRC 155H NVD GFCE RTX  4070 1 (NH.QSBER.001),https://www.bakuelectronics.az/mehsul/notebook-acer-ptn16-51-16-wqxga-32k-ips-165hz-dds-ultra-7-prc-155h16gb1tbrtx-4070-8gbsl-207779,4799.99,3999.99,800.0,666.66,6,0,0,7,False
71130,207778,Notbuk Acer Predator Helios Neo 18 PHN18-71 (NH.QS0ER.003),https://www.bakuelectronics.az/mehsul/notebook-acer-phn18-71-18-wqxga-ips-165hz-dci-p3-100perc-ddsi9-14900hxrtx4060-8gb32gb2tb-ssd-207778,4999.99,4299.99,700.0,716.66,6,0,0,1,False
74129,207777,Notbuk Acer Predator Helios Neo 18 PHN18-71 (NH.QS0ER.002),https://www.bakuelectronics.az/mehsul/207777,4599.99,3999.99,600.0,666.66,6,0,0,1,False
76760,207776,Notbuk Acer Predator Helios Neo 18 PHN18-71 18WQXGA IPS 165HZ DCI-P3 100per DDS INTL CORE I5-14450HX NVD GFCE RTX 4050 16GB (NH.QS1ER.001),https://www.bakuelectronics.az/mehsul/laptop-acer-phn18-71-18wqxga-ips-165hz-dci-p3-100per-dds-intl-core-i5-14450hx-nvd-gfce-rtx-4050-16gb-207776,4389.99,3289.99,1100.0,548.33,6,0,0,1,False
64205,205539,Notbuk HUAWEI MateBook D 16 2024 16 inch i5-13420H UMA 16GB 512GB Space Gray FreeDos (53013YDL),https://www.bakuelectronics.az/mehsul/notbuk-huawei-matebook-d-16-2024-16-inch-i5-13420h-uma-16gb-512gb-space-gray-freedos-53013ydl-205539,1699.99,1299.99,400.0,216.66,6,0,0,18,False
71527,204854,Notbuk Acer Nitro ANV15-51/15.6 FHD IPS 144Hz/ i7-13620H/ 16GB/ 1TB SSD/RTX 4050/ Free Dos (NH.QNBER.006-N),https://www.bakuelectronics.az/mehsul/laptop-acer-nitro-anv15-51156-fhd-ips-144hz-i7-13620h-16gb-1tb-ssdrtx-4050-free-dos-nhqnber006-n-204854,2799.99,2299.99,500.0,383.33,6,0,0,2,False
63452,204853,Notbuk Acer Nitro ANV15-51/15.6 FHD IPS 144Hz/ i5-13420H/ 16GB/ 1TB SSD/RTX 2050/ Free Dos (NH.QNDER.003-N),https://www.bakuelectronics.az/mehsul/laptop-acer-nitro-anv15-51156-fhd-ips-144hz-i5-13420h-16gb-1tb-ssdrtx-2050-free-dos-204853,2099.99,1799.99,300.0,300,6,0,0,5,False
