product_code,title,url,price_azn,old_price_azn,discount_azn,availability,labels,monthly_payment_azn
SLMGPKG,MSI Thin 15 B13UC-3424XAZ (9S7-16R831-3424),https://irshad.az/az/mehsullar/msi-thin-15-b13uc-3424xaz-9s7-16r831-3424,1569.99,2099.99,530.0,,Faizsiz təklif Yalnız online sifariş -530 AZN,87.22
8HXLSZC,Lenovo ThinkBook 16 G7 ARP (21MW002CRU),https://irshad.az/az/mehsullar/lenovo-thinkbook-16-g7-arp-21mw002cru-2,1529.99,1839.99,310.0,,Faizsiz təklif Yalnız online sifariş -310 AZN,85.0
FEERHUT,Lenovo Legion 5 15AHP10 (83M00056RK),https://irshad.az/az/mehsullar/lenovo-legion-5-15ahp10-83m00056rk,3069.99,3579.99,510.0,,Faizsiz təklif Yalnız online sifariş -510 AZN,170.56
ETU7B82,Lenovo LOQ 15AHP10 (83JG007WRK),https://irshad.az/az/mehsullar/lenovo-loq-15ahp10-83jg007wrk,2779.99,3269.99,490.0,,Faizsiz təklif Yalnız online sifariş -490 AZN,154.44
JJNJUBM,Lenovo LOQ 15AHP10 (83JG007LRK),https://irshad.az/az/mehsullar/lenovo-loq-15ahp10-83jg007lrk,2799.99,3199.99,400.0,,Faizsiz təklif Yalnız online sifariş -400 AZN,155.56
3C6GV6I,Lenovo LOQ 15AHP10 (83JG000VRK),https://irshad.az/az/mehsullar/lenovo-loq-15ahp10-83jg000vrk,2249.99,2799.99,550.0,,Faizsiz təklif Yalnız online sifariş -550 AZN,125.0
YBDOKV7,Lenovo ThinkPad T14s Gen 6 (21R1005SFW),https://irshad.az/az/mehsullar/lenovo-thinkpad-t14s-gen-6-21r1005sfw,3059.99,3669.99,610.0,,Faizsiz təklif Yalnız online sifariş -610 AZN,170.0
RAMQ5QX,Lenovo ThinkPad T14 Gen 6 (21QC006CFW),https://irshad.az/az/mehsullar/lenovo-thinkpad-t14-gen-6-21qc006cfw,3899.99,4689.99,790.0,,Faizsiz təklif Yalnız online sifariş -790 AZN,216.67
HQRYZLW,HP OMEN 16-WF0020NIA (C42GYEA),https://irshad.az/az/mehsullar/hp-omen-16-wf0020nia-c42gyea,2259.99,2699.99,440.0,,Stokda var - Məhdud sayda Faizsiz təklif -440 AZN,125.56
MHNG270,Lenovo LOQ 15IRX10 (83JE002KUS),https://irshad.az/az/mehsullar/lenovo-loq-15irx10-83je002kus-2,2099.99,2499.99,400.0,Stokda var,Stokda var Faizsiz təklif -400 AZN,116.67
