product_id,title,url,price_azn,old_price_azn,discount_percent,discount_azn
978946,Notbuk Asus Vivobook S 16 Flip TP3604VA-WS51T (90NB1051-M00710),https://birmarket.az/product/978946-notbuk-asus-vivobook-s-16-flip-tp3604va-ws51t-90nb1051-m00710,1249.99,1500.0,-17 %,250.01
682754,Notbuk Apple MacBook Pro 16.2 M2 Pro 32GB/512GB Space Gray (Z174000GU),https://birmarket.az/product/682754-notbuk-apple-macbook-pro-16-2-m2-pro-32gb-512gb-space-gray-z174000gu,3499.0,4999.0,-30 %,1500.0
1022828,Notbuk Lenovo Yoga Slim 6 14IRH8 (83E0005LRK-N),https://birmarket.az/product/1022828-notbuk-lenovo-yoga-slim-6-14irh8-83e0005lrk-n,1699.0,2599.0,-35 %,900.0
646753,Notbuk Asus Vivobook 16 M1605YA-MB002 (90NB10R1-M00AM0),https://birmarket.az/product/646753-notbuk-asus-vivobook-16-m1605ya-mb002-90nb10r1-m00am0,1050.0,,,
897492,Notbuk HP Envy x360 13-bf0014ci (827M6EA),https://birmarket.az/product/897492-notbuk-hp-envy-x360-13-bf0014ci-827m6ea,1999.0,2999.0,-33 %,1000.0
1389803,Notbuk HP Victus 15-FB3093DX (BM4X8UA),https://birmarket.az/product/1389803-notbuk-hp-victus-15-fb3093dx-bm4x8ua,1749.0,2199.0,-20 %,450.0
1562318,Noutbuk Lenovo IdeaPad Slim 3 15IRH10 (83K100DXPS),https://birmarket.az/product/1562318-lenovo-ideapad-slim-3-15irh8-i5-13420h-8gb-512gb-m-2-15-6-dos,998.0,1599.0,-38 %,601.0
1069425,Notbuk HP 255 G10 (AL0A1AT),https://birmarket.az/product/1069425-notbuk-hp-255-g10-al0a1at,799.0,918.85,-13 %,119.85
633451,Notbuk Acer Aspire 5 A515-58P-53Y4 (NX.KHJER.005),https://birmarket.az/product/633451-noutbuk-acer-aspire-a515-58p-nx-khjer-005,1149.0,1699.0,-32 %,550.0
1139109,Noutbuk ASUS Vivobook 14 - X1404Z,https://birmarket.az/product/1139109-asus-vivobook-14-x1404z,899.0,1199.0,-25 %,300.0
1226035,Oyun noutbuku HP Victus Gaming 15-fa1034nn,https://birmarket.az/product/1226035-hp-victus-gaming-15-fa1034nn,1599.0,1900.0,-16 %,301.0
